Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2352,,,,,322,1,322,0.823192358,0.719630891,0.526107694,,N10,0.619366453
2307,,,,,323,1,323,0.794604301,0.915592577,0.830988838,,N11,0.704648068
2209,,,,,324,1,324,0.785556316,0.795767109,0.610257204,,N12,0.671198482
2456,,,,,325,1,325,0.852076292,0.909144498,0.815752126,,N13,0.710111623
2254,,,,,326,1,326,0.786669016,0.801315614,0.662110343,,N14,0.668383266
2304,,,,,327,1,327,0.786873579,0.860400899,0.681652865,,N15,0.714880051
2232,,,,,328,1,328,0.785179377,0.861359539,0.753732945,,N16,0.665202842
2336,,,,,329,1,329,0.807421684,0.87198066,0.762146509,,N17,0.694274026
2324,,,,,330,1,330,0.786528111,0.763182959,0.596680176,,N18,0.623402671
2338,,,,,331,1,331,0.777991295,0.914217404,0.810585691,,N19,0.723799305
2278,,,,,332,1,332,0.833601713,0.751455123,0.65002446,,N20,0.593408411
2447,,,,,333,1,333,0.839982271,0.870734733,0.752597796,,N21,0.713021488
2140,,,,,334,1,334,0.721128225,0.839951964,0.669172446,,N22,0.694019462
2470,,,,,335,1,335,0.807561636,0.761544263,0.620476095,,N23,0.624558586
2193,,,,,336,1,336,0.773345232,0.71274527,0.531708212,,N24,0.614388319
2250,,,,,337,1,337,0.808764935,1.432914265,1.541534251,,O01,0.970362235
2054,,,,,338,1,338,0.678385735,1.369972875,1.367209521,,O02,1.047018823
2506,,,,,339,1,339,0.798872232,1.402772349,1.52491463,,O03,1.036844277
2327,,,,,340,1,340,0.766038895,1.361671651,1.464676601,,O04,0.969881602
2419,,,,,341,1,341,0.841521502,1.384080389,1.559054164,,O05,0.915204664
2369,,,,,342,1,342,0.78455925,1.234460211,1.359553646,,O06,0.897401207
2269,,,,,343,1,343,0.794397831,1.298965605,1.433880069,,O07,0.900673646
2261,,,,,344,1,344,0.770087004,1.002771212,0.989796123,,O08,0.73418541
2437,,,,,345,1,345,0.833626509,1.137954288,1.12936709,,O09,0.883317102
2368,,,,,346,1,346,0.791414499,1.062759045,0.98989442,,O10,0.803722126
2312,,,,,347,1,347,0.830442667,1.076107208,1.090759263,,O11,0.78133073
2148,,,,,348,1,348,0.743240118,0.873499146,0.714484131,,O12,0.702082258
2295,,,,,349,1,349,0.800800323,1.054631754,1.031527807,,O13,0.7859943
2207,,,,,350,1,350,0.768607616,0.930690999,0.817451324,,O14,0.714727527
2307,,,,,351,1,351,0.825994492,1.012789687,0.939800649,,O15,0.773862719
2440,,,,,352,1,352,0.835058928,0.85847722,0.709666508,,O16,0.711184217
2249,,,,,353,1,353,0.841067791,0.942535716,0.84464617,,O17,0.705305347
2407,,,,,354,1,354,0.857205153,0.778482077,0.661318426,,O18,0.595912814
2414,,,,,355,1,355,0.814347744,0.938727246,0.817463079,,O19,0.744847943
2331,,,,,356,1,356,0.829919577,0.896895573,0.835286129,,O20,0.692043661
2280,,,,,357,1,357,0.791299582,0.914921371,0.854199918,,O21,0.697007409
2163,,,,,358,1,358,0.793616772,0.627709257,0.561257566,,O22,0.454300808
2398,,,,,359,1,359,0.847256899,0.886524146,0.764377619,,O23,0.688324274
2341,,,,,360,1,360,0.798933268,0.69741385,0.51839732,,O24,0.586348744
2183,,,,,361,1,361,0.905368328,0.422094693,0.180869263,,P01,0.435703565
2050,,,,,362,1,362,0.797865152,0.371139577,0.15921236,,P02,0.377438359
2387,,,,,363,1,363,0.908026695,0.513616323,0.248241714,,P03,0.5129009
2500,,,,,364,1,364,0.88337779,0.469266493,0.185499785,,P04,0.506739569
2416,,,,,365,1,365,0.817780018,0.655197045,0.378224995,,P05,0.60508988
2400,,,,,366,1,366,0.841012478,0.630193291,0.387561058,,P06,0.596609255
2358,,,,,367,1,367,0.816388369,0.805386533,0.652146727,,P07,0.674449418
2550,,,,,368,1,368,0.880959988,0.84563042,0.681176507,,P08,0.717036088
2458,,,,,369,1,369,0.834078789,0.811577775,0.651777325,,P09,0.685402136
2456,,,,,370,1,370,0.853517056,0.834084782,0.684614345,,P10,0.674564882
2436,,,,,371,1,371,0.836583138,0.907677267,0.848738615,,P11,0.703225964
2486,,,,,372,1,372,0.863308668,0.865285535,0.765722653,,P12,0.681326735
2411,,,,,373,1,373,0.867234468,1.049055981,1.047193854,,P13,0.772826443
2355,,,,,374,1,374,0.819547176,0.841963221,0.710260906,,P14,0.677819029
2495,,,,,375,1,375,0.871062994,0.903003908,0.795696234,,P15,0.717172814
2425,,,,,376,1,376,0.837399483,0.845816892,0.672612702,,P16,0.686991357
2389,,,,,377,1,377,0.828168631,0.9144276,0.840925064,,P17,0.724294297
2365,,,,,378,1,378,0.832378149,0.737548328,0.58688717,,P18,0.613225867
2517,,,,,379,1,379,0.845334768,0.874546354,0.75526348,,P19,0.705807669
2532,,,,,380,1,380,0.844591379,0.795281597,0.603628127,,P20,0.675148558
2309,,,,,381,1,381,0.834121227,0.817555762,0.716842461,,P21,0.642215243
2578,,,,,382,1,382,0.87206316,0.775219754,0.632931831,,P22,0.642506272
2296,,,,,383,1,383,0.761497259,0.870851184,0.793726448,,P23,0.683444567
2344,,,,,384,1,384,0.78488493,0.644861616,0.582681877,,P24,0.49347741
